nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,codigo_interno,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial
VAINA DE VAINILLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,749,0,0,U,No,ABARROTES,,SOBRE,DE LIMA,1,0,,27
UVA VERDE,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,748,0,0,K,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,6
VALVAS ABANICO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,751,0,0,DOC,Si,CARNICOP,PESCADOS Y MARISCOS,DOC,CHELITA,12,0,,3
VASOS DESCARTABLES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,752,0,0,CIENTO,No,ABARROTES,,PAQ X 100U,DEL CARMEN,100,0,,4
VERMOUTH BLANCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CINZANO,753,0,0,U,No,ABARROTES,,BOT 0.750 L,DON PEDRITO,1,0,,25
VERMOUTH BLANCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CINZANO,754,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,25
VERMOUTH BLANCO EXTRA DRY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CINZANO,755,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,25
VERMOUTH ROSSO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CINZANO,756,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,25
VERMOUTH SECO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CINZANO,757,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,35
VINAGRE ARROZ (SUSHIS),ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MIZKAN,758,0,0,L,No,ABARROTES,,BOT X 0.710 L,DEL CARMEN,1000,0,,32.2
VINAGRE BALSAMICO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CARBONELL,759,0,0,L,No,ABARROTES,,BOT X 0.250 L,DEL CARMEN,1000,0,,46
VINAGRE BLANCO FIRME,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FIRME,760,0,0,L,No,ABARROTES,,SACHET X 1 L,DEL CARMEN,1000,0,,3.3
VINAGRE DE MANZANA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA AREQUIPEÑITA,761,0,0,L,No,ABARROTES,,BOT X 0.500 L,DEL CARMEN,1000,0,,9
VINAGRE ESTRAGON,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BORGES,762,0,0,L,No,ABARROTES,,BOT X 0.250 L,DEL CARMEN,1000,0,,28
VINAGRE JEREZ,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BORGES,763,0,0,L,No,ABARROTES,,BOT X 0.250 L,DEL CARMEN,1000,0,,50
VINAGRE TINTO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FIRME,764,0,0,L,No,ABARROTES,,SACHET X 1L,DEL CARMEN,1000,0,,2.9
VINAGRE VINO BLANCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CARBONELL,765,0,0,L,No,ABARROTES,,BOT X 0.350 L,DEL CARMEN,1000,0,,33.06
VINAGRE VINO TINTO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ORTALLI,766,0,0,L,No,ABARROTES,,BOT X 1 L,DEL CARMEN,1000,0,,18
VINO BLANCO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CLOSS,767,0,0,L,No,ABARROTES,,CAJA X 1 L,DEL CARMEN,1000,0,,14
VINO CHARDONAY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MISIONES DE RENGO,768,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,33.25
VINO COSECHA TARDIA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CONCHA Y TORO,806,0,0,L,Si,ABARROTES,,BOTELLA X 500,,1,0,,25
VINO DUBONNET,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DUBONNET,769,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,30
VINO ESPUMANTE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SANTIAGO QUEIROLO,770,0,0,L,No,ABARROTES,,BOT X 0.750 L,DON PEDRITO,1,0,,12
VINO MALBEC,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ABERDEEN ANGUS,771,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1,0,,20
VINO ROSSE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,TACAMA,772,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,60
VINO TANANT,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SANTIAGO QUEIROLO,773,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,35
VINO TINTO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CLOSS,774,0,0,L,No,ABARROTES,,CAJA X 1L,DEL CARMEN,1000,0,,11
VODKA ABSOLUT CITRON,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ABSOLUT,775,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1000,0,,39
VODKA ABSOLUT MANGO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ABSOLUT,776,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,35
VODKA ABSOLUT PERA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ABSOLUT,777,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,35
VODKA ABSOLUT VAINILLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ABSOLUT,783,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,35
VODKA HYPNOTIC,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,HIPNOTIC,778,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1000,0,,40
VODKA MANDARIN,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ABSOLUT,779,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,35
VODKA RASPBERRY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,STOLICHNAYA,780,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,30
VODKA SKY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SKY,781,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,25
