nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,codigo_interno,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial
ALCAPARRAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SANTIS,28,0,0,K,No,ABARROTES,,FCO X 0.100 K,DEL CARMEN,1,0,,68
ALCOHOL,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,29,0,0,L,No,ABARROTES,,BOT X 0.5 L,DEL CARMEN,1000,0,,11
ALGARROBINA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL SOMBRERITO,30,0,0,L,No,ABARROTES,,BOT X 0.500 L,DEL CARMEN,1000,0,,9.8
ALGINATO DE SODIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PASSION FOODS,867,0,0,K,Si,ABARROTES,,GRANEL,PASSSION FOODS,1000,0,,400.02
ALMEJAS,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,31,0,0,DOC,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,12,0,,5
ALMENDRAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,32,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,38
ALUMINIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PREMIER,33,0,0,U,No,ABARROTES,,CAJA MEDIANA,DEL CARMEN,1,0,,5
ALVERJAS PELADAS,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,,0,0,Sin unidad,Si,,,,,,,,15
ALVERJAS,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,34,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,7
ALVERJAS SECAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,35,0,.,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,.,5
AMARETTO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DU BOUCHETT,36,0,0,L,No,ABARROTES,,BOT X 1 L,DON PEDRITO,1,0,,40
AMARETTO BOLS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BOLS,37,0,0,L,No,ABARROTES,,BOT X 0.750 L,DON PEDRITO,1,0,,20
AMARGO DE ANGOSTURA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,WISLAN,38,0,0,L,No,ABARROTES,,BOT X 0.075 L,DEL CARMEN,1000,0,,90.66666666666667
ANCHOAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL CANDELABRO,39,0,0,K,Si,ABARROTES,,FRAS X 0.100 K,DEL CARMEN,1000,0,,75
ANIS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,40,0,0,K,No,ABARROTES,,GRANEL,LA MEJOR,1000,0,,19.5
ANIS ESTRELLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,41,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,35
ANIS RICARD,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,RICARD,43,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,70
ANISADO VERDE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ANIS NAJAR,42,0,0,L,No,ABARROTES,,BOT X 0.750 L,DON PEDRITO,1,0,,24
ANTIMOHO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,44,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,17
APIO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,45,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,1.5
ARANDANOS DESHIDRTADOS,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,811,0,0,K,Si,,,,,1000,0,,
ARROZ,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,46,0,0,K,No,ABARROTES,,SACO X 50 K,DEL CARMEN,1000,0,,3.3
ARROZ ARBOREO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COSTEÑO,47,0,0,K,No,ABARROTES,,BOLSA X 0.750 K,DEL CARMEN,1000,0,,6.5
ARROZ BOTAN,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,808,0,0,PQT,Si,,,,,1000,0,,
ARROZ MIYAKO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,KINTO,50,0,0,K,No,ABARROTES,,BOLSA X 1K,DEL CARMEN,1000,0,,7.5
ARROZ PARBOILED,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COSTEÑO,51,0,0,K,No,ABARROTES,,BOLSA X 0.750 K,DEL CARMEN,1000,0,,5.333333333333333
ARUGULA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,52,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,3.35
ATUN FILETE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,A - 1,53,0,0,K,Si,ABARROTES,,LATA X 0.170 K,DEL CARMEN,1,0,,29.41
AVENA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,54,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,6
AZAFRAN,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA NONNA,55,0,0,U,No,ABARROTES,,SOBRE POR 1GR,DEL CARMEN,1,0,,5.5
AZUCAR BLANCA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,56,0,0,K,No,ABARROTES,,SACO X 5OK,LA MEJOR,1000,0,,2.67
AZUCAR IMPALPABLE NEGRITA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NEGRITA,57,0,0,K,No,ABARROTES,,BOLSA X 1K,DEL CARMEN,1000,0,,6.66
AZUCAR INVERTIDA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,835,0,0,K,Si,ABARROTES,,GRANEL,,1000,0,,
AZUCAR RUBIA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,58,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,3
BAILEYS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BAILEYS,59,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1,0,,42
BARBIJOS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GOLGEN MEDIC,81,0,0,U,No,ABARROTES,,CAJA,MAKRO,1000,8,,9.8
base de torta de tecnopor,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,60,0,0,U,No,ABARROTES,,BOLSA,PIÑATERIA,1000,0,,3
BERENJENA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,61,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,3
BETERRAGA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,62,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.05,,3.4
BICARBONATO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,63,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,10
BIFE ANGOSTO,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,64,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0,,33
BISTECK DE RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,65,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0.05,,30
BIZCOCHO CHANCAY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,66,0,0,U,No,ABARROTES,,BOLSA X 8U,LAS AMERICAS,12,0,,4
BOC CHOY,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,67,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,2
BOFE DE RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,68,0,0,K,Si,CARNICO,RES,GRANEL,SAN CAMILO,1000,0,,3
BOLSA 10 X 15,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MATIC,69,0,0,U,No,ABARROTES,,PAQUETE X 1U,DEL CARMEN,1000,0,,10.5
BOLSA 4 X 8,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MATIC,73,0,0,U,No,ABARROTES,,PAQ X 1U,DEL CARMEN,1000,9,,10.5
BOLSA 5 X 10,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MATIC,74,0,0,U,No,ABARROTES,,PAQ X 1U,DEL CARMEN,1000,10,,10.5
BOLSA 6 X 12,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MATIC,70,0,0,U,No,ABARROTES,,PAQUETE X 1U,DEL CARMEN,1000,0,,10.5
BOLSA 8 X 12,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,MATIC,71,0,0,U,No,ABARROTES,,PAQUETE X 1U,DEL CARMEN,1000,0,,10.5
BONITO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,72,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0,,8
BRANDY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BARDINET,75,0,0,L,No,ABARROTES,,BOT,DON PEDRITO,1,0,,40
BRAZUELO CORDERO,CARNICO / CORDERO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,76,0,0,K,Si,CARNICO,CORDERO,GRANEL,MARVE,1000,0,,25
BRILLO NEUTRO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,77,0,0,K,Si,ABARROTES,,TAPER X 1 K,MAS VENTAS,1000,0,,8.5
BROCHETAS MADERA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,78,0,0,U,No,ABARROTES,,BOLSA,DEL CARMEN,1000,0,,2.5
BROCOLI,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,79,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,4
BROTE ALFALFA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,80,0,0,U,Si,VERDURAS,,CAJA X 0.100 K,DEL CARMEN,1000,0,,50
brotes mix,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,806,0,0,Sin unidad,Si,,,,DEL CARMEN,1000,0,,
BULBO HINOJO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,82,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,4
CABEZA CERDO COCIDA,CARNICO / CERDO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,83,0,0,K,Si,CARNICO,CERDO,GRANEL,MARVE,1000,0,,14
CABRILLA ENTERA,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,84,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.3,,28
CACHAZA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CACHAZA,85,0,0,L,No,ABARROTES,,BOT X 0.750 L,DON PEDRITO,1000,0,,35
CACHAZA PITU,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PITU,86,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1,0,,24
CABEZA DE CORDERO,CARNICO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,,0,0,K,No,CARNICO,,,,,,,50
CADERA RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,87,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0.1,,39
CAFÉ BARISTA PALACIOS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PALACIOS,845,0,0,K,Si,ABARROTES,,BOLSA,CAFÉ PALACIOS,1,0,,55
CAFÉ BARISTA VALENZUELA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,VALENZUELA,847,0,0,K,Si,ABARROTES,,BOLSA,CAFÉ VALENZUELA,1,0,,25
CAFÉ EN GRANO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,valenzuela,862,0,0,BOT,Si,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,100
CAFE INSTANTANEO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NESCAFE,90,0,0,K,No,ABARROTES,,TARRO X 500K,DEL CARMEN,1,0,,58
CAIGUA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,92,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,3.5
CALABAZA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,93,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,2
CALAMAR,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,94,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.15,,40
CAMARON CHICO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,95,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0.6,,42
CAMARON GRANDE,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,96,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,,,60
CAMARON MEDIANO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,97,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,,,60
CAMOTE LIMEÑO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,98,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,3.5
CAMOTE MORADO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,99,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,2
CAMPARI BITTER,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CAMPARI,100,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1,0,,36
CANADA DRY,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CANADA DRY,101,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,5
CANELA CHINA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LONGEVITI,102,0,0,K,No,ABARROTES,,BOLSA X 0.113,DEL CARMEN,1000,0,,137.5
CANELA POLVO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,103,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,52
CANELA RAMA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,104,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,75.2
CANGREJO,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,105,0,0,U,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1,0.4,,6
CANILLAS DE CORDERO,CARNICO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,854,0,0,K,Si,CARNICO,,K,,1000,0,,18
CAÑIHUACO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,106,0,0,K,No,ABARROTES,,BOLSA X 0.200 K,DEL CARMEN,1000,0,,25
CARAMBOLA,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,107,0,0,K,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,4
CARAMELINA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DULCIMASS,108,0,0,L,No,ABARROTES,,BOT X 1 L,DEL CARMEN,1000,0,,12
CARBON,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NEGRITO,109,0,0,K,No,ABARROTES,,BOLSA X 3 K,MAKRO,1000,0,,74
CARGA SIFON,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CHEF MASTER,110,0,0,U,No,ABARROTES,,CAJA X 24 U,FRANCO,1000,0,,83
CARNE ALPACA,CARNICO / ALPACA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,111,0,0,K,Si,CARNICO,ALPACA,GRANEL,MARVE,,,,16
CARNE DE CORDERO,CARNICO / CORDERO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,112,0,0,K,Si,CARNICO,CORDERO,GRANEL,MARVE,1000,0.03,,20
CARNE DE SOYA (TIPO RES),ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SEIPROSA,113,0,0,K,No,ABARROTES,,BOLSA X 0.250 K,DEL CARMEN,1,0,,18
CARNE MOLIDA CERDO,CARNICO / CERDO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,114,0,0,K,Si,CARNICO,CERDO,GRANEL,MARVE,1000,0,,17.5
CARNE MOLIDA RES,CARNICO / RES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,115,0,0,K,Si,CARNICO,RES,GRANEL,MARVE,1000,0,,15
CARRE CERDO,CARNICO / CERDO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,116,0,0,K,Si,CARNICO,CERDO,GRANEL,MARVE,1000,0.01,,25
CARRE CORDERO,CARNICO / CORDERO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,117,0,0,K,Si,CARNICO,CORDERO,GRANEL,MARVE,1000,0.15,,17
CASTAÑA DE AGUA EN CONSERVA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,820,0,0,K,No,ABARROTES,,,,1000,0,,
CASTAÑA DE CAJU,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,118,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,58
CASTAÑAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,119,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,36
CEBOLLA BLANCA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,120,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,4
CEBOLLA CHINA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,121,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.1,,3
CEBOLLA ENCURTIDA (FRASCO),ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,855,0,0,FCO,Si,ABARROTES,,FCO,,1000,0,,16
CEBOLLA POLVO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,122,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,34
CEBOLLA ROJA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,123,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,7
CEBOLLA VERDEO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,124,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,1.5
CECINA,CARNICO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,805,0,0,K,Si,CARNICO,,GRANEL,DEL CARMEN,1000,0,,44
CEDRON,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,125,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,2
CERVEZA AREQUIPEÑA 330,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,AREQUIPEÑA,126,0,0,L,No,ABARROTES,,SIX PACK,DEL CARMEN,1,0,,7.828282828282829
CERVEZA CUSQUEÑA 330,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CUSQUEÑA,128,0,0,L,No,ABARROTES,,SIX PACK,DEL CARMEN,1,0,,9.090909090909092
CERVEZA CUZQUEÑA 620,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CUSQUEÑA,129,0,0,L,No,ABARROTES,,BOTELLA,DEL CARMEN,1,0,,7.258064516129032
CERVEZA ERDINGER 330,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ERDINGER,130,0,0,L,No,ABARROTES,,BOTELLA,DEL CARMEN,1,0,,8
CERVEZA MALTA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CUZQUEÑA,853,0,0,U,Si,ABARROTES,,BOT,,1,0,,3.5
CERVEZA NEGRA 620,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CUZQUEÑA,856,0,0,L,Si,ABARROTES,,BOT,,1000,0,,4
CERVEZA PILSEN 310,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PILSEN,131,0,0,U,No,ABARROTES,,SIX PACK,DEL CARMEN,1,0,,8.870967741935484
CERVEZA PILSEN 620,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PILSEN,132,0,0,U,No,ABARROTES,,BOTELLA,DEL CARMEN,1,0,,6.774193548387097
CHALONA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,133,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,28
CHAMPAGNE BRUT,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,KRUG,134,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,30
CHAMPIGNON FRESCO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DON HONGO,135,0,0,K,Si,VERDURAS,,PAQ X 200GR,DEL CARMEN,1000,0,,35
CHAMPIGNON LATA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SINTRO,136,0,0,K,Si,VERDURAS,,LATA X 0.425 K,DEL CARMEN,300,0,,25.2
CHANCACA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,137,0,0,U,No,ABARROTES,,PAQUETE X 8U,DEL CARMEN,1,0,,0.375
CHANQUE,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,138,0,0,K,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,1000,0,,24
CHANTIPACK,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PURATOS,139,0,0,L,No,ABARROTES,,CAJA X 1 L,DEL CARMEN,1,0,,17
CHARQUI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,140,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,22
CHICHA DE JORA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,141,0,0,L,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,4
CHICHA DE JORA BLANCA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,142,0,0,L,Si,ABARROTES,,BOT X 1 L,SAN CAMILO,1000,0,,2
CHICHA MORADA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GLORIA,143,0,0,L,No,ABARROTES,,BOTELLA X 0.50 LT,DEL CARMEN,1,0,,2.4
CHIFLES,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,145,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,3,,18
CHIJCHIPA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,822,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILE PIQUIN,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,817,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILE POLVO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,813,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
chiles,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,819,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILES ANCHOS,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,814,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILES CHIPOTLES,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,815,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILES JALAPEÑO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,818,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILES POBLANOS,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,816,0,0,K,Si,VERDURAS,,GRANEL,,1000,0,,
CHILES VERDES,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,146,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,20
